,datetime,datetimeEpoch,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,pressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunriseEpoch,sunset,sunsetEpoch,moonphase,conditions,description,icon,stations,source
691,2020-07-30,1596088800,93.1,60.4,76.7,88.5,60.4,75.2,41.4,34.0,0.0,0.0,0.0,,0.0,0.0,34.4,21.7,43.6,1013.4,0.1,9.9,312.0,27.0,9.0,,06:10:41,1596111041,20:09:12,1596161352,0.36,Clear,Clear conditions throughout the day.,clear-day,"['72365623049', '99999903033', '72367723054', 'D2584', 'SFWN5', '72365493091', 'KSAF', 'KLAM']",obs
692,2019-07-24,1563948000,93.3,77.7,85.5,90.3,77.7,83.9,53.1,33.9,0.0,0.0,0.0,,0.0,0.0,19.7,12.3,331.6,1014.3,51.5,9.9,346.8,29.9,10.0,,06:16:35,1563970595,20:51:03,1564023063,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['QHW', '72572024127', 'WBB', 'UT23', 'KHIF', '72575524101', 'A0002804116', 'KSLC']",obs
693,2023-08-17,1692252000,91.7,61.3,75.5,87.6,61.3,74.3,47.3,40.8,0.0,0.0,0.0,,0.0,0.0,38.3,20.7,7.8,1015.3,21.6,9.8,286.8,24.7,9.0,10.0,06:24:10,1692275050,19:51:01,1692323461,0.05,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['72365623049', '99999903033', '72367723054', 'D2584', '72365493091', 'KSAF', 'KLAM']",obs
694,2019-08-30,1567148400,107.9,86.8,97.5,109.3,88.1,98.1,60.0,30.9,0.0,0.0,0.0,,0.0,0.0,24.0,13.4,227.8,1007.8,18.1,9.9,281.5,24.2,9.0,,06:00:53,1567170053,18:56:28,1567216588,0.0,Clear,Clear conditions throughout the day.,clear-day,"['MADC', '72278903192', '72278403184', 'KSDL', 'KDVT', '72278023183', 'KPHX', 'AZM15']",obs
695,2020-08-24,1598252400,112.8,91.7,102.4,112.8,90.1,101.3,53.6,21.0,0.0,0.0,0.0,,0.0,0.0,17.2,17.3,176.6,1004.3,27.3,9.9,261.5,22.4,8.0,,05:57:20,1598273840,19:03:05,1598320985,0.2,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['72278903192', '72278403184', 'MADC', 'KSDL', 'KDVT', '72278023183', 'KPHX']",obs
696,2020-08-17,1597644000,100.7,68.0,86.3,96.0,68.0,83.9,41.4,22.4,0.0,0.0,0.0,,0.0,0.0,28.9,12.6,310.0,1016.5,32.7,9.9,387.5,33.4,10.0,,06:40:19,1597668019,20:21:56,1597717316,0.96,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['QHW', '72572024127', 'UT23', 'F7048', 'KHIF', '72575524101', 'A0002804116', '72057299999', 'KSLC']",obs
697,2023-08-21,1692601200,90.0,78.1,84.6,90.6,78.1,86.0,64.4,51.8,0.039,100.0,16.67,['rain'],0.0,0.0,20.8,18.8,292.7,1012.4,84.8,9.7,100.5,8.8,4.0,10.0,05:54:49,1692622489,19:07:38,1692670058,0.18,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"['72278903192', '72278403184', 'KSDL', 'KDVT', '72278023183', 'AZM15', 'KPHX']",obs
698,2023-08-21,1692597600,88.1,67.3,77.9,84.5,67.3,76.8,44.4,31.9,0.003,100.0,4.17,['rain'],0.0,0.0,36.7,23.9,136.0,1019.8,29.9,9.8,219.8,19.0,10.0,10.0,06:27:16,1692620836,19:46:03,1692668763,0.18,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"['72365623049', '99999903033', '72367723054', 'D2584', '72365493091', 'KSAF', 'KLAM']",obs
699,2022-08-06,1659765600,78.4,67.5,72.7,78.4,67.5,72.7,62.3,70.5,0.542,100.0,20.83,['rain'],0.0,0.0,29.9,20.5,327.2,1013.1,86.2,9.6,137.0,11.8,10.0,60.0,06:29:04,1659788944,20:37:12,1659839832,0.31,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"['QHW', 'MTMET', '72572024127', 'WBB', 'F7048', 'KHIF', '72575524101', 'A0002804116', '72057299999', 'KSLC']",obs
700,2022-09-01,1662012000,82.3,54.1,69.4,80.5,54.1,69.0,49.9,55.3,0.0,0.0,0.0,,0.0,0.0,31.1,16.6,111.2,1015.5,4.1,9.9,199.0,17.2,8.0,30.0,06:35:52,1662035752,19:30:59,1662082259,0.19,Clear,Clear conditions throughout the day.,clear-day,"['72365623049', '99999903033', '72367723054', 'D2584', '72365493091', 'KSAF', 'KLAM']",obs
