,datetime,datetimeEpoch,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,pressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,sunrise,sunriseEpoch,sunset,sunsetEpoch,moonphase,conditions,description,icon,stations,source,severerisk
152,2021-07-01,1625112000,93.9,71.7,80.9,99.7,71.7,83.4,70.9,73.7,0.59,100.0,33.33,['rain'],0.0,0.0,47.2,14.1,227.5,1013.1,63.5,9.5,234.1,20.3,9.0,05:52:26,1625133146,20:34:51,1625186091,0.75,"Rain, Partially cloudy",Becoming cloudy in the afternoon with rain.,rain,"['KRIC', 'KFCI', 'F2053', '72401013740', 'F0267', 'KW96', 'KOFP', '72308493775']",obs,
153,2021-07-07,1625630400,82.0,71.9,76.6,86.4,71.9,77.1,72.2,86.8,0.27,100.0,20.83,['rain'],0.0,0.0,18.2,14.4,2.2,1013.3,84.0,9.5,123.4,10.6,5.0,06:41:24,1625654484,20:42:45,1625704965,0.92,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"['72214093805', 'K2J9', 'KTLH', 'KBGE', '72026853882', '1080W', '99999900325']",obs,
154,2019-08-04,1564891200,93.6,69.9,81.6,100.0,69.9,85.1,71.1,73.8,0.0,0.0,0.0,,0.0,0.0,18.3,12.3,302.1,1014.6,34.8,9.9,251.1,21.8,10.0,06:57:04,1564916224,20:29:01,1564964941,0.12,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['72214093805', 'K2J9', 'KTLH', 'E0402', '99999900325']",obs,
155,2020-08-03,1596427200,83.5,71.5,77.5,90.7,71.5,79.2,73.5,88.1,0.498,100.0,50.0,['rain'],0.0,0.0,21.9,12.1,132.5,1016.3,53.5,8.8,113.4,9.7,5.0,06:24:20,1596450260,20:16:36,1596500196,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"['KLHZ', '72214103731', '72213103713', 'KJNX', '1327W', 'KRDU', '72306013722']",obs,
156,2021-08-17,1629172800,84.9,72.7,77.6,92.3,72.7,79.2,74.3,90.3,0.03,100.0,8.33,['rain'],0.0,0.0,18.3,8.4,127.4,1019.6,77.6,7.9,138.8,12.0,6.0,06:35:08,1629196508,20:01:28,1629244888,0.33,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"['KLHZ', '72214103731', '72213103713', 'KJNX', '1327W', 'KRDU', '72306013722']",obs,
157,2020-08-04,1596513600,87.2,69.3,77.5,93.0,69.3,79.6,70.6,81.0,2.061,100.0,29.17,['rain'],0.0,0.0,23.0,14.4,265.5,1011.8,57.7,8.7,297.0,25.9,9.0,06:25:07,1596536707,20:15:38,1596586538,0.53,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"['KLHZ', '72214103731', '72213103713', 'KJNX', '1327W', 'KRDU', '72306013722']",obs,
158,2020-09-16,1600228800,70.3,63.9,66.3,70.3,63.9,66.3,60.8,82.9,0.787,100.0,54.17,['rain'],0.0,0.0,35.6,15.8,71.3,1016.9,85.1,7.9,24.8,1.9,1.0,07:21:52,1600255312,19:42:00,1600299720,0.97,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"['KFTY', '0349W', 'F6303', '72219013874', 'KATL', '72219503888', '72219653863', 'KPDK']",obs,
159,2020-09-16,1600228800,78.7,75.7,77.2,78.7,75.7,77.2,74.0,90.1,3.919,100.0,66.67,['rain'],0.0,0.0,32.1,19.1,120.1,1010.0,85.1,8.2,15.9,1.4,1.0,07:22:20,1600255340,19:40:43,1600299643,0.97,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"['72214093805', 'K2J9', 'KTLH', 'KBGE', '0344W', '72026853882', '1080W', '99999900325']",obs,
160,2022-10-17,1665979200,84.4,58.1,71.2,85.9,58.1,71.6,61.9,74.6,0.0,0.0,0.0,,0.0,0.0,13.0,12.0,265.2,1011.9,46.3,9.9,168.5,14.5,8.0,07:40:42,1666006842,19:03:46,1666047826,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['72214093805', 'K2J9', 'KTLH', 'KBGE', '72026853882', '1080W', '99999900325']",obs,30.0
161,2019-10-31,1572494400,86.0,57.2,76.3,90.6,57.2,77.6,67.8,76.2,0.238,100.0,8.33,['rain'],0.0,0.0,48.3,18.6,209.8,1013.4,72.6,9.7,106.5,9.1,4.0,07:42:34,1572522154,18:32:32,1572561152,0.11,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"['1176W', '72310503858', 'KCUB', 'WERS1', 'KMMT', '72310013883', '72310453867', 'KCAE']",obs,
