datetime,dew,humidity,precip,windgust,windspeed,winddir,pressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,conditions,icon,Region,Tornado,Temp_Difference
2019-03-27,33.1,79.3,0.0,36.0,23.3,307.8,1014.2,54.4,6.6,205.5,17.7,8.0,Partially cloudy,partly-cloudy-day,NORTHERN ROCKIES AND PLAINS,0,26.900000000000002
2019-03-28,32.2,59.5,0.0,20.8,11.9,183.4,1029.0,19.6,9.9,219.0,19.0,8.0,Clear,clear-day,SOUTHEAST,0,35.800000000000004
2019-03-28,45.7,62.7,0.0,16.1,10.9,165.0,1023.8,3.8,9.9,234.0,20.1,8.0,Clear,clear-day,SOUTH,0,30.800000000000004
2019-03-31,38.6,61.9,0.098,34.4,17.8,311.2,1016.9,59.2,9.7,122.3,10.6,7.0,"Rain, Partially cloudy",rain,SOUTHEAST,0,25.699999999999996
2019-03-31,30.7,68.8,0.188,43.2,19.6,302.4,1017.3,76.0,8.9,143.5,12.3,7.0,"Rain, Partially cloudy",rain,OHIO VALLEY,0,35.10000000000001
2019-04-02,36.5,56.2,0.0,14.1,9.1,321.3,1022.6,0.0,9.9,291.4,25.0,10.0,Clear,clear-day,SOUTH,0,28.1
2019-04-02,48.8,76.9,0.069,17.2,13.5,342.3,1019.8,65.9,9.6,241.5,20.9,9.0,"Rain, Partially cloudy",rain,SOUTHEAST,0,17.999999999999993
2019-04-02,32.6,57.6,0.0,20.8,14.8,275.1,1018.9,43.4,8.8,236.4,20.5,8.0,Partially cloudy,partly-cloudy-day,SOUTH,0,19.6
2019-04-02,34.6,48.6,0.0,17.8,10.8,163.6,1022.2,14.3,9.9,235.8,20.3,9.0,Clear,clear-day,SOUTH,0,34.6
2019-04-03,45.2,66.4,0.0,13.9,8.8,84.7,1025.1,56.1,9.9,256.0,22.2,8.0,Partially cloudy,partly-cloudy-day,SOUTHEAST,0,31.799999999999997
2019-04-04,53.0,78.3,0.559,39.9,16.4,50.9,1014.9,44.9,9.7,201.1,17.5,8.0,"Rain, Partially cloudy",rain,SOUTH,0,19.799999999999997
2019-04-04,32.0,41.6,0.0,0.0,12.1,73.2,1028.4,66.8,9.9,204.0,17.5,9.0,Partially cloudy,partly-cloudy-day,NORTHWEST,0,22.299999999999997
2019-04-05,46.3,84.1,0.0,0.0,9.2,335.3,1018.0,98.9,8.6,30.5,2.5,1.0,Overcast,cloudy,OHIO VALLEY,0,5.200000000000003
2019-04-05,45.6,81.0,0.564,17.2,14.5,69.7,1025.2,79.7,7.4,35.5,3.2,1.0,"Rain, Partially cloudy",rain,SOUTHEAST,0,6.400000000000006
2019-04-07,69.0,84.3,1.509,43.6,19.2,136.4,1014.9,73.4,7.3,146.5,12.7,8.0,"Rain, Partially cloudy",rain,SOUTH,1,18.799999999999997
2019-04-09,63.5,84.4,0.355,0.0,9.5,223.2,1008.6,67.5,8.4,128.7,11.1,8.0,"Rain, Partially cloudy",rain,SOUTHEAST,0,11.099999999999994
2019-04-10,35.6,38.0,0.0,0.0,9.6,350.8,1010.9,32.6,9.9,236.7,20.4,9.0,Partially cloudy,partly-cloudy-day,SOUTHEAST,0,24.400000000000006
2019-04-10,54.8,66.4,0.0,17.0,5.7,30.0,1009.3,19.3,8.6,266.7,22.9,10.0,Clear,clear-day,SOUTHEAST,0,25.900000000000006
2019-04-11,37.4,66.2,0.0,24.2,17.1,67.5,1022.0,37.4,9.9,197.2,16.9,8.0,Partially cloudy,partly-cloudy-day,NORTHEAST,0,9.299999999999997
2019-04-12,48.8,57.8,0.284,33.2,21.4,190.7,1010.2,47.7,9.3,127.1,10.9,5.0,"Rain, Partially cloudy",rain,OHIO VALLEY,1,15.599999999999994
2019-04-14,67.8,82.2,0.045,23.4,14.8,172.4,1009.1,70.0,9.6,65.8,5.9,3.0,"Rain, Partially cloudy",rain,SOUTHEAST,1,9.700000000000003
2019-04-14,49.7,83.5,0.065,30.1,21.3,254.0,1007.9,68.5,9.7,51.0,4.5,2.0,"Rain, Partially cloudy",rain,SOUTH,1,22.299999999999997
2019-04-17,55.7,61.6,0.055,30.8,21.8,201.0,1004.6,77.1,9.9,110.8,9.7,5.0,"Rain, Partially cloudy",rain,SOUTH,1,19.200000000000003
2019-04-18,62.6,90.8,2.237,35.5,19.7,178.6,1006.6,61.2,8.2,65.1,5.6,5.0,"Rain, Partially cloudy",rain,SOUTH,1,15.300000000000004
2019-04-19,61.5,75.5,0.359,46.8,31.0,219.1,1005.1,63.1,9.5,184.5,16.1,8.0,"Rain, Partially cloudy",rain,SOUTHEAST,1,19.699999999999996
