,datetime,datetimeEpoch,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,pressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,sunrise,sunriseEpoch,sunset,sunsetEpoch,moonphase,conditions,description,icon,stations,source,severerisk
174,2021-03-02,1614664800,59.0,29.0,44.6,59.0,22.0,42.8,25.3,51.2,0.0,0.0,0.0,,0.0,0.0,25.3,15.0,195.0,1022.2,0.0,9.9,183.0,15.8,7.0,06:38:55,1614688735,18:03:09,1614729789,0.62,Clear,Clear conditions throughout the day.,clear-day,"['72445803963', 'D5315', 'KJEF', '72442013997', 'KVIH', '72445003945', 'KCOU']",obs,
175,2022-03-02,1646197200,64.1,44.1,56.2,64.1,44.1,56.2,31.6,40.0,0.0,0.0,0.0,,0.0,0.0,26.4,13.9,259.7,1016.6,46.5,9.9,106.9,9.2,6.0,06:57:00,1646222220,18:20:54,1646263254,0.0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['KBKW', '72425003860', 'F6696', '72414013866', '72412003872', 'KCRW', 'KHTS', 'BEEW2']",obs,10.0
176,2019-03-27,1553659200,64.1,26.1,45.3,64.1,26.1,45.3,22.2,45.1,0.0,0.0,0.0,,0.0,0.0,19.7,5.8,178.8,1027.4,8.9,9.9,243.7,21.0,8.0,07:19:29,1553685569,19:44:59,1553730299,0.72,Clear,Clear conditions throughout the day.,clear-day,"['KBKW', '72425003860', '72414013866', 'D7574', '72412003872', 'KCRW', 'KHTS', 'BEEW2']",obs,
177,2023-03-23,1679547600,59.0,43.0,48.7,59.0,37.9,45.2,46.5,92.4,0.09,100.0,25.0,['rain'],0.0,0.0,27.7,18.1,4.6,1013.5,96.0,5.1,29.1,2.5,1.0,06:57:23,1679572643,19:13:36,1679616816,0.06,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"['74466653944', 'KTAZ', 'KSPI', 'MASI2', 'KAAA', 'F6994', '72439093822', 'D3458', '74467204862']",obs,10.0
178,2020-03-23,1584936000,42.5,37.0,38.9,40.9,30.6,35.2,34.7,85.2,0.0,0.0,0.0,,0.0,0.0,,10.8,337.8,1021.2,95.5,8.1,68.7,6.2,2.0,07:42:14,1584963734,20:00:19,1585008019,0.98,Overcast,Cloudy skies throughout the day.,cloudy,"['KEYE', 'KIND', '72438093819', '72438453842', 'AS046', 'AN200', '72057500173']",obs,
179,2019-03-23,1553313600,53.0,25.3,38.8,53.0,20.3,36.0,20.0,51.4,0.0,0.0,0.0,,0.0,0.0,16.1,10.8,2.0,1025.6,12.6,9.9,168.1,14.4,8.0,07:43:27,1553341407,19:59:33,1553385573,0.58,Clear,Clear conditions throughout the day.,clear-day,"['72435653866', 'KEYE', 'AR470', 'KIND', '72438093819', '72438453842', '72057500173']",obs,
180,2023-03-19,1679198400,35.1,20.0,26.9,30.0,9.2,19.4,8.9,47.0,0.0,0.0,0.0,,0.0,0.0,23.0,11.4,303.9,1025.9,58.9,9.9,128.5,11.0,5.0,07:31:51,1679225511,19:37:27,1679269047,0.93,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['KBKW', '72425003860', 'F6696', '72414013866', '72412003872', 'KCRW', 'KHTS', 'BEEW2']",obs,10.0
181,2020-03-08,1583643600,65.0,25.1,45.7,65.0,25.1,45.1,24.7,49.9,0.0,0.0,0.0,,0.0,0.0,24.2,17.2,199.5,1030.2,0.0,9.9,170.7,13.9,8.0,08:00:21,1583668821,19:40:27,1583710827,0.47,Clear,Clear conditions throughout the day.,clear-day,"['72422093820', 'KLEX', 'KFFT', '0786W', '72423353841', '99999963838', '72423513810', 'C3512']",obs,
182,2020-03-11,1583899200,57.8,46.2,50.2,57.8,43.8,49.4,43.1,77.8,0.0,0.0,0.0,,0.0,0.0,,9.2,232.2,1018.4,69.2,7.8,4.4,0.0,0.0,07:55:51,1583927751,19:43:24,1583970204,0.57,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['72422093820', 'KLEX', 'KFFT', '0786W', '72423353841', '99999963838', '72423513810']",obs,
183,2020-03-22,1584849600,37.0,28.0,32.9,34.5,18.8,26.1,26.4,77.0,0.105,100.0,25.0,"['rain', 'snow']",0.0,0.0,,11.3,83.5,1029.4,63.5,9.0,62.1,5.3,3.0,07:43:51,1584877431,19:59:19,1584921559,0.94,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,rain,"['KEYE', 'KIND', '72438093819', '72438453842', 'AS046', 'AN200', '72057500173']",obs,
184,2022-03-03,1646283600,61.0,37.1,49.5,61.0,33.3,47.5,31.8,51.6,0.012,100.0,4.17,['rain'],0.0,0.0,24.2,11.4,331.9,1021.1,83.3,9.9,92.6,8.0,4.0,06:55:34,1646308534,18:21:55,1646349715,0.03,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"['KBKW', '72425003860', 'F6696', '72414013866', 'F7791', '72412003872', 'KCRW', 'KHTS']",obs,10.0
185,2019-03-31,1554004800,65.9,30.8,41.3,65.9,24.1,35.4,30.7,68.8,0.188,100.0,25.0,['rain'],0.0,0.0,43.2,19.6,302.4,1017.3,76.0,8.9,143.5,12.3,7.0,07:13:19,1554030799,19:48:45,1554076125,0.85,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"['KBKW', '72425003860', '72414013866', 'D7574', '72412003872', 'KCRW', 'KHTS']",obs,
186,2023-03-08,1678251600,49.9,34.9,41.0,44.9,25.7,33.9,17.4,38.8,0.0,0.0,0.0,,0.0,0.0,24.6,17.7,83.6,1030.9,58.7,9.9,80.9,6.9,3.0,07:07:19,1678277239,18:44:06,1678319046,0.54,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['KEYE', 'KIND', '72438093819', '72438453842', 'F9086', '72057500173']",obs,10.0
187,2021-03-02,1614664800,52.0,34.7,43.3,52.0,29.7,40.6,26.4,52.7,0.0,0.0,0.0,,0.0,0.0,,8.5,16.8,1023.8,39.0,9.9,181.5,15.7,8.0,06:15:36,1614687336,17:43:15,1614728595,0.62,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['72327013897', '0679W', 'KJWN', 'KBNA', 'KMQY', '72327313827', '72327199999']",obs,
