,datetime,datetimeEpoch,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,pressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,sunrise,sunriseEpoch,sunset,sunsetEpoch,moonphase,conditions,description,icon,stations,source,severerisk
144,2020-01-28,1580191200,72.5,50.8,58.4,72.5,50.8,58.4,47.3,70.2,0.27,100.0,20.83,['rain'],0.0,0.0,33.2,18.7,271.3,1012.8,54.7,7.6,129.6,11.3,5.0,07:24:07,1580217847,18:03:57,1580256237,0.12,"Rain, Partially cloudy",Clearing in the afternoon with a chance of rain throughout the day.,rain,"['KATT', 'KAUS', '72064800230', 'E4737', 'KEDC', '72254013904', 'EAUT2', '72254413958']",obs,
145,2020-01-10,1578636000,70.5,29.6,54.0,70.5,14.3,49.7,50.9,90.1,0.064,100.0,12.5,['rain'],0.0,0.0,45.1,31.2,309.6,1009.2,84.3,9.3,47.6,4.1,3.0,07:39:47,1578663587,17:35:27,1578699327,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"['F2084', '72354013919', '72353013967', 'KTIK', 'KPWA', 'KOKC', '72354403954']",obs,
146,2019-02-23,1550901600,82.1,63.2,72.5,85.1,63.2,73.0,67.6,85.4,0.56,100.0,33.33,['rain'],0.0,0.0,33.8,22.1,189.6,1011.6,63.0,9.0,86.4,7.5,4.0,06:35:11,1550925311,17:53:24,1550966004,0.64,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"['72078700278', 'D5633', 'KJVW', '72235413927', 'MAYM6', 'KHKS', '72235003940', 'KJAN']",obs,
147,2021-02-28,1614492000,82.9,68.2,74.8,86.4,68.2,75.6,67.5,79.2,0.0,0.0,0.0,,0.0,0.0,35.2,22.2,174.1,1015.3,87.9,8.9,128.2,11.2,5.0,06:31:40,1614515500,18:03:09,1614556989,0.55,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['72104600460', '99999953960', 'KBTR', 'KHZR', '72232013970', '72096700457', '1311W']",obs,
148,2023-03-02,1677736800,62.9,56.9,60.7,62.9,56.9,60.7,56.8,87.2,0.186,100.0,33.33,['rain'],0.0,0.0,25.3,16.1,87.2,1004.7,100.0,5.6,28.5,2.6,1.0,06:37:14,1677760634,18:05:48,1677801948,0.34,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"['72340503930', 'SDNA4', '72341613925', '72340313963', 'KLRF', 'KSGT', 'UAPA4', 'E9770', 'KLIT', 'LNKA4']",obs,10.0
149,2021-03-25,1616648400,81.0,63.2,72.5,83.6,63.2,72.9,64.9,78.2,0.367,100.0,50.0,['rain'],0.0,0.0,30.5,15.7,193.3,1006.8,74.7,9.1,127.6,11.0,4.0,06:57:30,1616673450,19:16:05,1616717765,0.4,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"['72078700278', 'KJVW', '72235413927', 'KHKS', '72235003940', 'MSS10', 'KJAN']",obs,
150,2021-03-30,1617080400,82.7,57.0,69.6,85.3,57.0,70.1,62.4,79.3,0.0,0.0,0.0,,0.0,0.0,29.3,21.2,169.6,1016.7,43.9,9.5,166.7,14.1,6.0,06:55:51,1617105351,19:22:45,1617150165,0.57,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['72104600460', '99999953960', 'KBTR', 'KHZR', '72232013970', '72096700457', '1311W']",obs,
151,2023-03-03,1677823200,76.8,61.0,72.0,76.8,61.0,72.0,56.2,59.1,0.001,100.0,4.17,['rain'],0.0,0.0,39.3,22.9,236.0,1002.6,37.6,9.9,241.8,20.9,8.0,06:28:53,1677846533,18:04:56,1677888296,0.38,"Rain, Partially cloudy",Clearing in the afternoon with morning rain.,rain,"['72104600460', 'KBTR', 'KHZR', '72232013970', '72096700457', 'LSU01', '1311W']",obs,10.0
152,2022-03-30,1648616400,62.7,42.3,51.7,62.7,32.9,48.2,38.7,62.7,0.04,100.0,8.33,['rain'],0.0,0.0,42.1,30.3,331.5,1000.8,54.4,9.9,116.1,10.0,4.0,07:19:18,1648642758,19:50:13,1648687813,0.94,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"['72354013919', '72353013967', 'KTIK', 'AV216', 'KPWA', 'KOKC', '72354403954']",obs,10.0
153,2022-03-06,1646546400,82.0,69.1,74.1,83.5,69.1,74.2,62.3,67.4,0.002,100.0,4.17,['rain'],0.0,0.0,30.8,20.5,186.1,1014.4,93.8,9.9,75.3,6.4,5.0,06:31:42,1646569902,18:09:26,1646611766,0.13,"Rain, Overcast",Cloudy skies throughout the day with morning rain.,rain,"['72340503930', '72341613925', '72340313963', 'KLRF', 'KSGT', 'UAPA4', 'E9770', 'KLIT', 'LNKA4']",obs,60.0
154,2021-03-30,1617080400,79.1,48.9,64.9,79.1,48.0,64.9,56.6,75.4,0.356,100.0,12.5,['rain'],0.0,0.0,25.7,17.1,162.2,1016.7,55.6,9.5,149.6,13.0,6.0,06:51:03,1617105063,19:19:32,1617149972,0.57,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"['72078700278', 'KJVW', '72235413927', 'KHKS', '72235003940', 'MSS10', 'KJAN']",obs,
155,2023-03-24,1679634000,83.5,68.5,74.6,84.5,68.5,74.8,65.4,74.7,0.055,100.0,12.5,['rain'],0.0,0.0,35.2,21.5,174.4,1010.7,90.9,9.7,137.2,11.9,6.0,06:59:27,1679659167,19:15:04,1679703304,0.1,"Rain, Overcast",Cloudy skies throughout the day with late afternoon rain.,rain,"['72078700278', 'KJVW', '72235413927', 'KHKS', '72235003940', 'MSS10', 'KJAN', 'CYSM6']",obs,30.0
156,2021-03-22,1616389200,71.2,57.4,63.4,71.2,57.4,63.4,54.7,73.9,0.0,0.0,0.0,,0.0,0.0,31.8,16.0,156.2,1010.0,87.9,9.8,35.5,3.1,1.0,07:31:52,1616416312,19:43:58,1616460238,0.3,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['KATT', 'KAUS', '72064800230', 'E4737', '72254013904', '72254413958', 'E5093']",obs,
157,2019-03-22,1553230800,79.7,50.0,65.1,79.7,50.0,65.1,45.6,51.0,0.0,0.0,0.0,,0.0,0.0,21.5,10.2,160.3,1019.6,36.0,9.9,211.3,18.1,8.0,07:32:29,1553257949,19:43:38,1553301818,0.55,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"['KATT', 'KAUS', '72064800230', 'E4737', 'KEDC', '72254013904', '72254413958']",obs,
158,2023-03-16,1678942800,63.2,37.1,51.7,63.2,24.8,47.0,43.7,75.0,0.685,100.0,29.17,['rain'],0.0,0.0,44.8,32.3,271.8,1008.0,91.7,8.8,37.5,3.3,2.0,07:39:32,1678970372,19:38:28,1679013508,0.82,"Rain, Overcast",Cloudy skies throughout the day with rain in the morning and afternoon.,rain,"['72354013919', '72353013967', 'KTIK', 'AV216', 'KPWA', 'KOKC', '72354403954']",obs,30.0
159,2021-03-23,1616475600,67.8,61.1,63.7,67.8,61.1,63.7,58.7,84.3,2.49,100.0,62.5,['rain'],0.0,0.0,32.7,15.5,123.2,1009.6,90.9,8.3,7.8,0.7,1.0,07:04:25,1616501065,19:18:23,1616545103,0.33,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"['72104600460', '99999953960', 'KBTR', 'KHZR', '72232013970', '72096700457', 'LSU01', '1311W']",obs,
