,YEAR,MONTH_NAME,BEGIN_DAY,STATE,BEGIN_DATE_TIME,END_DATE_TIME,INJURIES_DIRECT,DEATHS_DIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,TOR_F_SCALE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_LAT,BEGIN_LON,Region,BEGIN_DATE
128,2021,August,9,ILLINOIS,2021-08-09 17:13:00,2021-08-09 17:14:00,0,0,0.00K,0.00K,EFU,0.01,5.0,1.0,41.53,-89.34,OHIO VALLEY,2021-08-09
129,2023,August,7,WEST VIRGINIA,2023-08-07 14:07:00,2023-08-07 14:10:00,0,0,3.00K,0.00K,EF1,3.68,250.0,1.0,38.136,-82.6302,OHIO VALLEY,2023-08-07
130,2023,August,7,TENNESSEE,2023-08-07 13:17:00,2023-08-07 13:23:00,0,0,3.70M,0,EF2,3.7,200.0,1.0,35.9308,-84.158,OHIO VALLEY,2023-08-07
131,2023,August,7,INDIANA,2023-08-07 00:13:00,2023-08-07 00:15:00,0,0,0,0.00K,EF1,1.78,60.0,1.0,38.5957,-86.1412,OHIO VALLEY,2023-08-07
132,2021,August,8,MISSOURI,2021-08-08 18:14:00,2021-08-08 18:15:00,0,0,15.00K,0.00K,EF0,0.11,50.0,3.0,36.64,-90.302,OHIO VALLEY,2021-08-08
133,2019,September,1,ILLINOIS,2019-09-01 13:31:00,2019-09-01 13:33:00,0,0,0.00K,0.00K,EF0,0.31,20.0,8.0,39.2051,-88.4484,OHIO VALLEY,2019-09-01
134,2022,September,4,OHIO,2022-09-04 16:44:00,2022-09-04 16:45:00,0,0,12.00K,0.00K,EF0,0.07,15.0,1.0,41.021,-80.6559,OHIO VALLEY,2022-09-04
135,2020,October,23,KENTUCKY,2020-10-23 14:18:00,2020-10-23 14:19:00,0,0,0.00K,0.00K,EFU,0.35,30.0,4.0,36.9407,-88.7891,OHIO VALLEY,2020-10-23
136,2021,October,21,OHIO,2021-10-21 18:03:00,2021-10-21 18:05:00,0,0,150.00K,0,EF1,0.43,70.0,1.0,40.1652,-80.8291,OHIO VALLEY,2021-10-21
137,2021,October,15,INDIANA,2021-10-15 21:12:00,2021-10-15 21:15:00,0,0,0,0.00K,EF0,2.7,70.0,2.0,38.543,-85.9602,OHIO VALLEY,2021-10-15
138,2022,November,5,ILLINOIS,2022-11-05 10:06:00,2022-11-05 10:07:00,0,0,0.00K,0.00K,EF0,0.2,100.0,0.0,41.7172,-88.5733,OHIO VALLEY,2022-11-05
139,2021,December,5,MISSOURI,2021-12-05 22:02:00,2021-12-05 22:07:00,0,0,150.00K,0.00K,EF1,3.43,100.0,2.0,36.951,-93.253,OHIO VALLEY,2021-12-05
140,2021,December,10,TENNESSEE,2021-12-10 20:39:00,2021-12-10 20:40:00,0,0,5.00K,0.00K,EF1,0.68,100.0,2.0,36.4192,-89.2733,OHIO VALLEY,2021-12-10
141,2019,December,16,TENNESSEE,2019-12-16 17:50:00,2019-12-16 17:52:00,0,0,0,0,EF0,3.2,50.0,1.0,35.0106,-86.8261,OHIO VALLEY,2019-12-16
142,2022,January,9,LOUISIANA,2022-01-09 04:53:00,2022-01-09 05:01:00,6,0,1.50M,0.00K,EF2,3.56,900.0,1.0,31.4132,-93.3238,SOUTH,2022-01-09
143,2023,January,3,MISSISSIPPI,2023-01-03 22:47:00,2023-01-03 22:52:00,0,0,50.00K,0.00K,EF1,2.61,365.0,2.0,31.7617,-89.1008,SOUTH,2023-01-03
144,2020,January,10,ARKANSAS,2020-01-10 19:45:00,2020-01-10 19:49:00,0,0,35.00K,0.00K,EF1,3.9,400.0,2.0,35.4262,-93.8928,SOUTH,2020-01-10
145,2022,January,8,TEXAS,2022-01-08 15:55:00,2022-01-08 15:57:00,0,0,50.00K,0,EF0,0.79,30.0,2.0,29.9387,-95.339,SOUTH,2022-01-08
146,2019,February,12,MISSISSIPPI,2019-02-12 04:53:00,2019-02-12 04:58:00,0,0,40.00K,0.00K,EF1,4.22,500.0,2.0,32.734,-89.7141,SOUTH,2019-02-12
147,2022,February,22,ARKANSAS,2022-02-22 05:24:00,2022-02-22 05:28:00,0,0,0.00K,0.00K,EF0,2.81,50.0,2.0,35.7138,-90.7422,SOUTH,2022-02-22
148,2021,March,17,MISSISSIPPI,2021-03-17 18:25:00,2021-03-17 18:26:00,0,0,25.00K,0.00K,EF0,0.5,50.0,5.0,33.9519,-88.816,SOUTH,2021-03-17
149,2019,March,9,ARKANSAS,2019-03-09 10:24:00,2019-03-09 10:26:00,2,0,100.00K,10.00K,EF1,2.43,150.0,4.0,34.6012,-92.1263,SOUTH,2019-03-09
150,2020,March,31,MISSISSIPPI,2020-03-31 08:30:00,2020-03-31 08:42:00,0,0,0,0,EF1,8.15,50.0,4.0,30.84,-88.75,SOUTH,2020-03-31
151,2023,March,2,TEXAS,2023-03-02 17:00:00,2023-03-02 17:11:00,0,0,0.00K,0.00K,EF0,5.43,100.0,3.0,33.2837,-95.2662,SOUTH,2023-03-02
152,2021,March,16,MISSISSIPPI,2021-03-16 18:58:00,2021-03-16 18:59:00,0,0,5.00K,0.00K,EF0,0.52,50.0,3.0,31.7748,-89.9611,SOUTH,2021-03-16
153,2020,March,19,OKLAHOMA,2020-03-19 09:25:00,2020-03-19 09:29:00,0,0,30.00K,0.00K,EF1,2.7,225.0,2.0,35.4043,-96.3287,SOUTH,2020-03-19
154,2023,March,2,LOUISIANA,2023-03-02 17:35:00,2023-03-02 17:40:00,2,0,50.00M,0.00K,EF1,4.76,100.0,2.0,32.3627,-93.7087,SOUTH,2023-03-02
155,2022,March,29,KANSAS,2022-03-29 18:56:00,2022-03-29 19:06:00,0,0,0,0,EF1,9.86,10.0,4.0,39.28,-95.43,SOUTH,2022-03-29
156,2023,March,16,OKLAHOMA,2023-03-16 13:57:00,2023-03-16 13:57:00,0,0,0.00K,0.00K,EF0,0.1,20.0,7.0,34.5613,-97.67,SOUTH,2023-03-16
157,2020,March,13,TEXAS,2020-03-13 18:53:00,2020-03-13 18:57:00,0,0,0,0,EFU,4.48,300.0,49.0,31.6892,-103.73,SOUTH,2020-03-13
158,2023,March,16,TEXAS,2023-03-16 15:47:00,2023-03-16 15:55:00,0,0,0,0.00K,EF1,6.37,100.0,1.0,32.8066,-97.0338,SOUTH,2023-03-16
159,2021,March,27,TEXAS,2021-03-27 17:37:00,2021-03-27 17:38:00,0,0,0.00K,0.00K,EF1,1.42,300.0,1.0,31.8229,-94.9451,SOUTH,2021-03-27
160,2022,April,11,ARKANSAS,2022-04-11 19:16:00,2022-04-11 19:18:00,0,0,0.00K,2.00K,EF1,0.97,100.0,2.0,34.94,-92.229,SOUTH,2022-04-11
161,2019,April,18,MISSISSIPPI,2019-04-18 16:04:00,2019-04-18 16:07:00,0,0,5.00K,10.00K,EF1,2.91,100.0,5.0,32.9486,-88.8694,SOUTH,2019-04-18
162,2020,April,19,MISSISSIPPI,2020-04-19 18:09:00,2020-04-19 18:13:00,0,0,0.00K,0.00K,EF1,2.59,500.0,3.0,31.0707,-89.9646,SOUTH,2020-04-19
163,2019,April,17,KANSAS,2019-04-17 17:38:00,2019-04-17 17:42:00,0,0,0.00K,0.00K,EFU,1.11,30.0,4.0,37.32,-97.46,SOUTH,2019-04-17
164,2019,April,13,TEXAS,2019-04-13 12:45:00,2019-04-13 12:47:00,0,0,0,0,EF0,0.16,50.0,4.0,31.367,-95.079,SOUTH,2019-04-13
165,2019,April,25,MISSISSIPPI,2019-04-25 10:22:00,2019-04-25 10:23:00,0,0,0.00K,0.00K,EF1,0.25,25.0,2.0,30.3935,-89.4453,SOUTH,2019-04-25
166,2023,April,26,TEXAS,2023-04-26 15:58:00,2023-04-26 15:58:00,0,0,0.00K,0.00K,EFU,0.02,25.0,4.0,31.63,-97.38,SOUTH,2023-04-26
167,2023,April,15,LOUISIANA,2023-04-15 17:30:00,2023-04-15 17:42:00,0,0,30.00K,0.00K,EF1,2.24,200.0,3.0,32.3226,-93.3372,SOUTH,2023-04-15
168,2022,April,13,LOUISIANA,2022-04-13 16:11:00,2022-04-13 16:17:00,0,0,0.00K,0.00K,EF2,5.76,250.0,1.0,32.0117,-92.4006,SOUTH,2022-04-13
169,2019,April,7,MISSISSIPPI,2019-04-07 17:02:00,2019-04-07 17:04:00,0,0,0,0.00K,EF1,1.72,125.0,6.0,31.0184,-91.0712,SOUTH,2019-04-07
170,2023,April,3,MISSISSIPPI,2023-04-03 03:37:00,2023-04-03 03:46:00,0,0,20.00K,0.00K,EF1,4.54,430.0,2.0,31.9177,-89.8915,SOUTH,2023-04-03
171,2021,April,23,TEXAS,2021-04-23 16:54:00,2021-04-23 16:55:00,0,0,0.00K,0,EFU,0.2,30.0,5.0,34.13,-99.66,SOUTH,2021-04-23
172,2019,April,7,TEXAS,2019-04-07 06:24:00,2019-04-07 06:25:00,0,0,1.25M,0.00K,EF0,0.58,30.0,0.0,28.3691,-97.6643,SOUTH,2019-04-07
173,2023,April,5,ARKANSAS,2023-04-05 04:50:00,2023-04-05 04:53:00,0,0,0.00K,0.00K,EF0,2.8,300.0,1.0,35.967,-93.5241,SOUTH,2023-04-05
174,2023,April,1,MISSISSIPPI,2023-04-01 00:28:00,2023-04-01 00:31:00,0,0,105.00M,0.00K,EF1,2.11,375.0,3.0,34.2327,-88.7226,SOUTH,2023-04-01
175,2021,May,17,TEXAS,2021-05-17 17:35:00,2021-05-17 17:39:00,0,0,0.00K,0.00K,EFU,0.86,20.0,19.0,35.5306,-102.582,SOUTH,2021-05-17
176,2019,May,26,ARKANSAS,2019-05-26 01:30:00,2019-05-26 01:32:00,0,0,0.00K,0.00K,EF0,1.5,100.0,4.0,36.1348,-94.3808,SOUTH,2019-05-26
177,2021,May,2,MISSISSIPPI,2021-05-02 20:15:00,2021-05-02 20:18:00,0,0,5.00K,0.00K,EF0,1.1,50.0,2.0,34.065,-89.024,SOUTH,2021-05-02
178,2022,May,2,KANSAS,2022-05-02 14:25:00,2022-05-02 14:35:00,0,0,0.00K,0.00K,EF0,1.69,35.0,4.0,37.2036,-99.544,SOUTH,2022-05-02
179,2022,May,25,TEXAS,2022-05-25 04:21:00,2022-05-25 04:35:00,0,0,100.00K,0.00K,EF1,1.04,50.0,0.0,29.9762,-93.9766,SOUTH,2022-05-25
180,2020,May,25,TEXAS,2020-05-25 16:05:00,2020-05-25 16:07:00,0,0,60.00K,0.00K,EF1,0.53,100.0,4.0,33.2226,-95.082,SOUTH,2020-05-25
181,2021,May,31,TEXAS,2021-05-31 14:39:00,2021-05-31 14:47:00,0,0,0.00K,0.00K,EFU,3.3,50.0,21.0,30.5992,-102.7347,SOUTH,2021-05-31
182,2023,May,9,KANSAS,2023-05-09 11:56:00,2023-05-09 11:58:00,0,0,0,0,EFU,1.6,30.0,4.0,39.3259,-97.5212,SOUTH,2023-05-09
183,2020,May,22,TEXAS,2020-05-22 17:11:00,2020-05-22 17:16:00,0,0,5.00K,0.00K,EF1,1.7,150.0,10.0,34.098,-98.744,SOUTH,2020-05-22
184,2019,May,5,KANSAS,2019-05-05 18:35:00,2019-05-05 18:37:00,0,0,100.00K,0.00K,EF1,0.4,100.0,4.0,38.0951,-98.1052,SOUTH,2019-05-05
185,2019,May,2,TEXAS,2019-05-02 20:20:00,2019-05-02 20:21:00,0,0,0.00K,0.00K,EFU,0.4,10.0,9.0,29.79,-101.09,SOUTH,2019-05-02
186,2019,May,29,ARKANSAS,2019-05-29 16:16:00,2019-05-29 16:20:00,0,0,40.00K,0.00K,EF0,0.62,75.0,3.0,36.2724,-91.2288,SOUTH,2019-05-29
187,2023,May,11,ARKANSAS,2023-05-11 11:41:00,2023-05-11 11:43:00,0,0,40.00K,0.00K,EF1,0.45,140.0,4.0,33.1472,-91.8186,SOUTH,2023-05-11
188,2019,May,21,KANSAS,2019-05-21 15:32:00,2019-05-21 15:48:00,0,0,0,0,EF1,7.48,100.0,3.0,38.8433,-97.1004,SOUTH,2019-05-21
189,2023,May,19,OKLAHOMA,2023-05-19 11:35:00,2023-05-19 11:35:00,0,0,0.00K,0.00K,EF0,0.1,10.0,3.0,35.58,-98.328,SOUTH,2023-05-19
190,2021,May,28,TEXAS,2021-05-28 18:31:00,2021-05-28 18:35:00,0,0,5.00K,0.00K,EF0,1.38,50.0,1.0,29.9832,-97.4385,SOUTH,2021-05-28
191,2020,May,16,OKLAHOMA,2020-05-16 13:36:00,2020-05-16 13:38:00,0,0,0.00K,0.00K,EFU,1.25,20.0,6.0,33.6799,-94.4848,SOUTH,2020-05-16
192,2019,May,24,KANSAS,2019-05-24 15:53:00,2019-05-24 15:54:00,0,0,0.00K,0.00K,EFU,0.19,50.0,5.0,37.7485,-96.621,SOUTH,2019-05-24
193,2019,May,9,MISSISSIPPI,2019-05-09 10:12:00,2019-05-09 10:21:00,0,0,0.00K,0.00K,EF1,0.81,270.0,1.0,31.2541,-90.4936,SOUTH,2019-05-09
194,2021,May,11,TEXAS,2021-05-11 13:10:00,2021-05-11 13:11:00,0,0,0.00K,0.00K,EF0,0.01,20.0,5.0,30.98,-95.63,SOUTH,2021-05-11
195,2023,May,8,TEXAS,2023-05-08 14:00:00,2023-05-08 14:14:00,0,0,25.00K,0.00K,EF0,6.08,75.0,8.0,30.2439,-94.3691,SOUTH,2023-05-08
196,2021,May,19,LOUISIANA,2021-05-19 18:42:00,2021-05-19 18:43:00,0,0,35.00K,0.00K,EF0,0.52,75.0,2.0,29.9018,-90.3495,SOUTH,2021-05-19
197,2023,May,13,OKLAHOMA,2023-05-13 14:18:00,2023-05-13 14:18:00,0,0,0.00K,0.00K,EF0,0.1,20.0,2.0,35.057,-97.979,SOUTH,2023-05-13
198,2019,May,20,OKLAHOMA,2019-05-20 16:12:00,2019-05-20 16:29:00,0,0,300.00K,0.00K,EF2,11.0,1200.0,8.0,34.809,-99.614,SOUTH,2019-05-20
199,2019,May,25,OKLAHOMA,2019-05-25 21:53:00,2019-05-25 21:53:00,0,0,10.00K,0.00K,EF0,0.5,30.0,2.0,35.516,-97.492,SOUTH,2019-05-25
200,2019,May,1,OKLAHOMA,2019-05-01 12:26:00,2019-05-01 12:26:00,0,0,0.00K,0.00K,EFU,0.5,20.0,4.0,34.1165,-98.0268,SOUTH,2019-05-01
201,2021,May,3,ARKANSAS,2021-05-03 20:41:00,2021-05-03 20:42:00,0,0,0.00K,0.00K,EF1,0.8,1300.0,5.0,35.405,-94.436,SOUTH,2021-05-03
202,2020,June,21,KANSAS,2020-06-21 13:50:00,2020-06-21 14:10:00,0,0,10.00K,0.00K,EF0,5.82,100.0,7.0,39.4474,-100.3966,SOUTH,2020-06-21
203,2021,June,27,TEXAS,2021-06-27 19:54:00,2021-06-27 19:54:00,0,0,0.00K,0.00K,EFU,0.02,30.0,2.0,33.5853,-102.2992,SOUTH,2021-06-27
204,2019,June,22,TEXAS,2019-06-22 21:43:00,2019-06-22 21:49:00,0,0,0.00K,0.00K,EF0,2.45,50.0,4.0,34.9992,-101.1359,SOUTH,2019-06-22
205,2023,June,11,TEXAS,2023-06-11 23:35:00,2023-06-11 23:39:00,0,0,0.00K,0.00K,EFU,0.43,50.0,5.0,32.87,-99.86,SOUTH,2023-06-11
206,2023,June,16,MISSISSIPPI,2023-06-16 03:40:00,2023-06-16 03:47:00,0,0,85.00K,0.00K,EF1,8.54,900.0,0.0,32.2456,-90.9258,SOUTH,2023-06-16
207,2023,June,15,TEXAS,2023-06-15 19:02:00,2023-06-15 19:08:00,0,0,8.00K,0.00K,EF1,2.5,100.0,5.0,33.756,-98.167,SOUTH,2023-06-15
208,2023,June,22,TEXAS,2023-06-22 14:41:00,2023-06-22 14:55:00,0,0,85.00K,0,EF1,10.3,150.0,8.0,35.7,-100.23,SOUTH,2023-06-22
209,2021,June,25,TEXAS,2021-06-25 18:01:00,2021-06-25 18:06:00,0,0,100.00K,0.00K,EF1,2.2,40.0,4.0,35.2606,-100.6701,SOUTH,2021-06-25
210,2023,June,17,OKLAHOMA,2023-06-17 20:24:00,2023-06-17 20:25:00,0,0,0.00K,0.00K,EFU,1.5,30.0,1.0,36.914,-98.422,SOUTH,2023-06-17
211,2020,June,9,KANSAS,2020-06-09 17:26:00,2020-06-09 17:27:00,0,0,0.00K,0.00K,EFU,0.01,10.0,5.0,39.79,-96.29,SOUTH,2020-06-09
212,2023,June,3,TEXAS,2023-06-03 18:50:00,2023-06-03 18:51:00,0,0,0.00K,0.00K,EF0,0.24,10.0,1.0,35.1871,-101.8138,SOUTH,2023-06-03
213,2019,June,2,OKLAHOMA,2019-06-02 19:18:00,2019-06-02 19:18:00,0,0,0.00K,0.00K,EF0,0.01,20.0,6.0,36.65,-102.76,SOUTH,2019-06-02
214,2019,June,23,ARKANSAS,2019-06-23 01:36:00,2019-06-23 01:37:00,0,0,0.00K,55.00K,EF0,0.06,25.0,2.0,35.2624,-93.6835,SOUTH,2019-06-23
215,2019,July,14,MISSISSIPPI,2019-07-14 05:25:00,2019-07-14 05:27:00,0,0,3.00K,0.00K,EF0,0.48,25.0,2.0,31.4122,-89.1959,SOUTH,2019-07-14
216,2020,July,26,TEXAS,2020-07-26 02:32:00,2020-07-26 02:36:00,0,0,250.00K,0.00K,EF0,3.43,50.0,3.0,25.8729,-97.4287,SOUTH,2020-07-26
217,2020,July,11,OKLAHOMA,2020-07-11 23:04:00,2020-07-11 23:04:00,0,0,20.00K,0.00K,EF0,0.2,10.0,5.0,35.266,-97.369,SOUTH,2020-07-11
218,2020,July,25,TEXAS,2020-07-25 11:48:00,2020-07-25 11:48:00,0,0,0.00K,0.00K,EFU,0.1,25.0,3.0,28.16,-97.35,SOUTH,2020-07-25
219,2021,July,10,OKLAHOMA,2021-07-10 18:25:00,2021-07-10 18:27:00,0,0,50.00K,0.00K,EF1,1.4,100.0,2.0,36.088,-96.72,SOUTH,2021-07-10
220,2021,August,30,MISSISSIPPI,2021-08-30 04:55:00,2021-08-30 04:56:00,0,0,50.00K,0.00K,EF0,0.53,100.0,1.0,30.3966,-88.8788,SOUTH,2021-08-30
221,2022,August,26,LOUISIANA,2022-08-26 15:24:00,2022-08-26 15:25:00,0,0,0.00K,0.00K,EF0,0.25,10.0,2.0,30.185,-93.2869,SOUTH,2022-08-26
222,2019,August,9,ARKANSAS,2019-08-09 12:22:00,2019-08-09 12:25:00,0,0,0.00K,0.00K,EF0,0.19,50.0,2.0,36.2767,-90.7434,SOUTH,2019-08-09
223,2019,August,26,OKLAHOMA,2019-08-26 20:01:00,2019-08-26 20:01:00,0,0,0.00K,0.00K,EF0,0.12,100.0,6.0,35.726,-97.514,SOUTH,2019-08-26
224,2019,August,9,MISSISSIPPI,2019-08-09 17:00:00,2019-08-09 17:02:00,0,0,0.00K,0.00K,EF0,0.09,50.0,2.0,34.3776,-90.2788,SOUTH,2019-08-09
225,2019,August,24,KANSAS,2019-08-24 20:24:00,2019-08-24 20:25:00,0,0,0.00K,0.00K,EFU,0.67,25.0,2.0,38.64,-98.54,SOUTH,2019-08-24
226,2019,September,18,TEXAS,2019-09-18 15:56:00,2019-09-18 16:05:00,0,0,300.00K,0,EF1,3.04,30.0,3.0,29.8409,-95.0007,SOUTH,2019-09-18
227,2020,September,1,TEXAS,2020-09-01 18:10:00,2020-09-01 18:10:00,0,0,0.00K,0.00K,EFU,0.01,30.0,7.0,34.5706,-100.8394,SOUTH,2020-09-01
228,2021,October,27,TEXAS,2021-10-27 07:50:00,2021-10-27 07:50:00,0,0,0.50K,0.00K,EF0,0.02,20.0,5.0,30.12,-95.36,SOUTH,2021-10-27
229,2019,October,16,LOUISIANA,2019-10-16 01:42:00,2019-10-16 01:47:00,0,0,500.00K,0.00K,EF1,2.74,100.0,3.0,30.3095,-93.0709,SOUTH,2019-10-16
230,2021,October,27,MISSISSIPPI,2021-10-27 17:49:00,2021-10-27 17:53:00,0,0,50.00K,0.00K,EF1,2.44,125.0,1.0,30.5196,-89.6734,SOUTH,2021-10-27
231,2020,October,9,MISSISSIPPI,2020-10-09 15:34:00,2020-10-09 15:35:00,0,0,2.00K,0.00K,EF0,0.73,100.0,2.0,31.4343,-90.7235,SOUTH,2020-10-09
232,2019,October,21,LOUISIANA,2019-10-21 12:00:00,2019-10-21 12:01:00,1,0,2.00K,0.00K,EF0,0.06,15.0,1.0,30.2194,-91.0336,SOUTH,2019-10-21
233,2021,October,26,OKLAHOMA,2021-10-26 22:54:00,2021-10-26 22:54:00,0,0,5.00K,0.00K,EF0,0.3,20.0,0.0,35.388,-97.942,SOUTH,2021-10-26
234,2021,November,10,OKLAHOMA,2021-11-10 19:26:00,2021-11-10 19:27:00,0,0,75.00K,0.00K,EF0,0.4,100.0,5.0,36.118,-95.761,SOUTH,2021-11-10
235,2020,November,27,MISSISSIPPI,2020-11-27 14:57:00,2020-11-27 15:04:00,0,0,0,0,EF1,2.0,50.0,2.0,31.1716,-90.5012,SOUTH,2020-11-27
236,2020,November,24,OKLAHOMA,2020-11-24 20:54:00,2020-11-24 20:59:00,0,0,50.00K,0.00K,EF1,3.0,200.0,3.0,35.104,-95.316,SOUTH,2020-11-24
237,2022,November,4,OKLAHOMA,2022-11-04 17:44:00,2022-11-04 18:21:00,6,0,35.00M,0.00K,EF4,32.3,1056.0,3.0,33.8055,-94.9175,SOUTH,2022-11-04
238,2019,December,16,LOUISIANA,2019-12-16 15:46:00,2019-12-16 15:49:00,0,0,0,0,EF1,1.35,50.0,3.0,30.8685,-90.3253,SOUTH,2019-12-16
239,2021,December,10,ARKANSAS,2021-12-10 18:15:00,2021-12-10 18:23:00,0,0,0.00K,0.00K,EFU,6.68,150.0,0.0,35.4747,-91.2306,SOUTH,2021-12-10
240,2021,December,11,MISSISSIPPI,2021-12-11 04:30:00,2021-12-11 04:35:00,0,0,125.00K,0.00K,EF1,4.5,100.0,3.0,34.5365,-88.4622,SOUTH,2021-12-11
241,2022,December,13,MISSISSIPPI,2022-12-13 23:21:00,2022-12-13 23:29:00,0,0,10.00K,0.00K,EF0,5.85,200.0,7.0,32.6,-91.0,SOUTH,2022-12-13
242,2022,January,2,GEORGIA,2022-01-02 19:00:00,2022-01-02 19:01:00,0,0,0,0,EF0,0.42,100.0,2.0,32.197,-82.4034,SOUTHEAST,2022-01-02
243,2023,January,12,NORTH CAROLINA,2023-01-12 18:10:00,2023-01-12 18:19:00,0,0,0.00K,0.00K,EF0,6.06,100.0,2.0,35.342,-81.14,SOUTHEAST,2023-01-12
244,2023,January,12,GEORGIA,2023-01-12 15:24:00,2023-01-12 15:31:00,0,0,0,0,EF2,8.12,1600.0,0.0,33.0736,-85.2254,SOUTHEAST,2023-01-12
245,2023,January,3,ALABAMA,2023-01-03 10:48:00,2023-01-03 10:50:00,0,0,0,0,EF1,0.6,70.0,3.0,34.5382,-87.8899,SOUTHEAST,2023-01-03
246,2019,January,24,FLORIDA,2019-01-24 06:20:00,2019-01-24 06:21:00,0,0,1.38M,0.00K,EF0,0.49,175.0,1.0,28.8225,-81.3219,SOUTHEAST,2019-01-24
247,2023,January,22,FLORIDA,2023-01-22 12:45:00,2023-01-22 12:46:00,0,0,100.00K,0.00K,EF1,0.33,200.0,4.0,30.2939,-84.2843,SOUTHEAST,2023-01-22
248,2019,January,4,ALABAMA,2019-01-04 04:38:00,2019-01-04 04:40:00,0,0,0.00K,0.00K,EF0,0.15,35.0,3.0,31.6165,-85.2788,SOUTHEAST,2019-01-04
249,2022,February,22,ALABAMA,2022-02-22 19:22:00,2022-02-22 19:25:00,0,0,0,0,EF0,3.13,110.0,2.0,34.9021,-86.597,SOUTHEAST,2022-02-22
250,2021,February,14,FLORIDA,2021-02-14 14:30:00,2021-02-14 14:31:00,0,0,0.00K,0.00K,EF0,0.01,10.0,3.0,29.8599,-81.4972,SOUTHEAST,2021-02-14
251,2022,February,17,ALABAMA,2022-02-17 16:14:00,2022-02-17 16:15:00,0,0,0.00K,0.00K,EF0,1.15,290.0,4.0,33.595,-87.541,SOUTHEAST,2022-02-17
252,2020,February,12,ALABAMA,2020-02-12 17:13:00,2020-02-12 17:17:00,0,0,0,0,EF1,3.75,400.0,0.0,34.9674,-87.5054,SOUTHEAST,2020-02-12
253,2023,March,3,GEORGIA,2023-03-03 15:08:00,2023-03-03 15:12:00,0,0,0,0,EF1,3.69,150.0,1.0,34.4595,-84.8336,SOUTHEAST,2023-03-03
254,2022,March,11,FLORIDA,2022-03-11 16:24:00,2022-03-11 16:25:00,0,0,1.00K,0.00K,EF0,0.12,40.0,1.0,27.2221,-80.2367,SOUTHEAST,2022-03-11
255,2019,March,1,SOUTH CAROLINA,2019-03-01 18:17:00,2019-03-01 18:21:00,0,0,50.00K,0.00K,EF0,1.54,75.0,2.0,34.203,-82.391,SOUTHEAST,2019-03-01
256,2022,March,16,FLORIDA,2022-03-16 13:22:00,2022-03-16 13:27:00,1,0,1.00M,0.00K,EF1,1.5,100.0,1.0,27.3298,-82.5419,SOUTHEAST,2022-03-16
257,2020,March,31,FLORIDA,2020-03-31 11:55:00,2020-03-31 11:56:00,0,0,2.00K,0.00K,EF0,0.17,25.0,3.0,30.462,-86.1945,SOUTHEAST,2020-03-31
258,2021,March,17,ALABAMA,2021-03-17 20:31:00,2021-03-17 20:43:00,0,0,0.00K,0.00K,EF1,8.47,150.0,1.0,34.1997,-86.7521,SOUTHEAST,2021-03-17
259,2023,March,27,ALABAMA,2023-03-27 01:41:00,2023-03-27 02:06:00,0,0,0.00K,0.00K,EF2,15.41,1450.0,1.0,32.4103,-86.008,SOUTHEAST,2023-03-27
260,2021,March,25,SOUTH CAROLINA,2021-03-25 15:59:00,2021-03-25 16:02:00,0,0,0.00K,0.00K,EF0,2.14,25.0,3.0,34.506,-81.723,SOUTHEAST,2021-03-25
261,2023,March,17,FLORIDA,2023-03-17 18:20:00,2023-03-17 18:21:00,0,0,0.00K,0.00K,EF0,0.12,25.0,1.0,30.34,-86.14,SOUTHEAST,2023-03-17
262,2023,March,3,ALABAMA,2023-03-03 12:39:00,2023-03-03 12:43:00,0,0,0,0,EF1,5.04,105.0,1.0,34.5891,-85.9949,SOUTHEAST,2023-03-03
263,2020,April,29,FLORIDA,2020-04-29 18:34:00,2020-04-29 18:36:00,0,0,50.00K,0.00K,EF1,0.96,150.0,4.0,30.6577,-84.622,SOUTHEAST,2020-04-29
264,2021,April,24,ALABAMA,2021-04-24 06:50:00,2021-04-24 06:55:00,2,0,100.00K,0.00K,EF1,4.09,150.0,1.0,31.3984,-85.2407,SOUTHEAST,2021-04-24
265,2022,April,4,FLORIDA,2022-04-04 18:46:00,2022-04-04 18:47:00,0,0,20.00K,0.00K,EF0,0.25,25.0,7.0,27.55,-81.6998,SOUTHEAST,2022-04-04
266,2020,April,19,ALABAMA,2020-04-19 22:06:00,2020-04-19 22:12:00,0,0,0,0,EF1,3.17,75.0,1.0,30.6684,-88.2154,SOUTHEAST,2020-04-19
267,2019,April,19,SOUTH CAROLINA,2019-04-19 13:07:00,2019-04-19 13:09:00,0,0,0,0,EF1,1.89,200.0,2.0,34.4278,-81.6193,SOUTHEAST,2019-04-19
268,2021,April,24,GEORGIA,2021-04-24 20:03:00,2021-04-24 20:18:00,0,0,0.00K,0.00K,EF2,8.15,360.0,3.0,31.4524,-83.0035,SOUTHEAST,2021-04-24
269,2019,April,19,NORTH CAROLINA,2019-04-19 16:01:00,2019-04-19 16:06:00,0,0,650.00K,0.00K,EF1,5.34,125.0,2.0,35.1913,-78.5071,SOUTHEAST,2019-04-19
270,2020,April,13,NORTH CAROLINA,2020-04-13 08:24:00,2020-04-13 08:30:00,0,0,2.00K,0.00K,EF0,1.49,30.0,5.0,34.5543,-77.7547,SOUTHEAST,2020-04-13
